time,kind,level,count,side,res,cost
2023-04-01 14:00:00,LEVEL,28293.433333333334,3,1,1,0.023271214379958476
2023-04-01 00:00:00,CONTROL,28524.792323618913,3,-1,1,0.017099912970322328
2023-04-02 13:00:00,LEVEL,28161.1,5,1,1,0.034043111329379386
2023-04-02 11:00:00,LEVEL,28293.433333333334,3,1,-1,0.036347901026402805
2023-04-02 19:00:00,CONTROL,27875.741360280404,3,1,1,0.029191168385659213
2023-04-02 16:00:00,CONTROL,27951.294511927103,6,1,1,0.03320617108634055
2023-04-02 15:00:00,CONTROL,28044.087522283182,3,1,1,0.03412208367730283
2023-04-02 04:00:00,CONTROL,28390.91476228685,5,1,-1,0.03332755951552382
2023-04-02 03:00:00,CONTROL,28483.82787252192,3,-1,1,0.03350176395489033
2023-04-03 21:00:00,LEVEL,27283.183333333334,6,1,1,0.013887001012687748
2023-04-03 20:00:00,LEVEL,27481.666666666668,3,1,1,0.014966954291970877
2023-04-03 01:00:00,LEVEL,27640.25,6,1,1,0.022978489036682967
2023-04-03 01:00:00,LEVEL,27762.13333333333,3,1,1,0.023079815719283678
2023-04-03 08:00:00,LEVEL,28161.1,5,-1,-1,0.019167805334581182
2023-04-03 08:00:00,LEVEL,28305.075,4,-1,1,0.01926580167609648
2023-04-03 01:00:00,CONTROL,27978.33780121629,6,1,-1,0.0232595554826697
2023-04-03 00:00:00,CONTROL,28072.42747558061,3,1,-1,0.02678187583383759
2023-04-03 01:00:00,CONTROL,27965.393117215084,5,1,-1,0.023248794028652278
2023-04-03 01:00:00,CONTROL,27989.449038223607,4,1,-1,0.02326879271597101
2023-04-04 04:00:00,LEVEL,27762.13333333333,3,1,1,0.014718405981985542
2023-04-04 06:00:00,LEVEL,28107.933333333334,3,-1,-1,0.014508724500220433
2023-04-04 12:00:00,LEVEL,28201.925000000003,4,1,1,0.014850690319077152
2023-04-04 10:00:00,LEVEL,28332.050000000003,4,-1,1,0.015386616431614117
2023-04-04 01:00:00,CONTROL,27872.951745183414,5,-1,-1,0.014579095046435345
2023-04-04 06:00:00,CONTROL,27950.23902030328,3,-1,-1,0.01442732600977036
2023-04-04 02:00:00,CONTROL,27891.70319355643,3,-1,-1,0.014537813177082526
2023-04-04 06:00:00,CONTROL,28022.214796230815,4,-1,-1,0.014464478392737762
2023-04-05 15:00:00,LEVEL,27961.36666666667,3,1,1,0.018913981722225758
