n,date,dir,entry,sl,tp,stop,out,R,hrs,lotA,riskA,pctA,pnlA,balA,lotB,riskB,pnlB,balB
1,2025-05-08 12:10,LONG,3347.29,3336.64,3368.6,10.66,WIN,1.977,1.4,0.1,107,5.3,211,2211,0.038,41,80,2080
2,2025-05-09 08:15,SHORT,3322.07,3332.02,3302.17,9.95,LOSS,-1.025,3.2,0.1,100,4.5,-102,2109,0.042,42,-43,2037
3,2025-05-09 14:00,SHORT,3324.74,3344.57,3285.09,19.83,LOSS,-1.013,1.6,0.1,198,9.4,-201,1908,0.021,42,-42,1995
4,2025-05-13 08:25,SHORT,3254.08,3264.01,3234.21,9.94,WIN,1.975,5.2,0.1,99,5.2,196,2104,0.04,40,79,2074
5,2025-05-22 11:55,LONG,3314.33,3277.9,3387.18,36.43,LOSS,-1.007,152.9,0.1,364,17.3,-367,1737,0.011,40,-40,2033
6,2025-06-03 12:40,LONG,3361.53,3345.7,3393.19,15.83,LOSS,-1.016,1.1,0.1,158,9.1,-161,1577,0.026,41,-42,1991
7,2025-06-03 15:35,LONG,3350.56,3329.94,3391.8,20.62,WIN,1.988,42.5,0.1,206,13.1,410,1986,0.019,39,78,2069
8,2025-06-10 14:50,SHORT,3327.91,3353.61,3276.51,25.7,LOSS,-1.01,21.7,0.1,257,12.9,-260,1727,0.016,41,-42,2028
9,2025-06-11 13:55,SHORT,3330.02,3367.16,3255.75,37.13,LOSS,-1.007,8.7,0.1,371,21.5,-374,1353,0.011,41,-41,1987
10,2025-06-26 11:30,SHORT,3336.69,3346.17,3317.75,9.47,WIN,1.974,1.6,0.1,95,7.0,187,1540,0.042,40,79,2065
11,2025-06-30 08:35,SHORT,3289.14,3298.95,3269.52,9.81,LOSS,-1.025,9.7,0.1,98,6.4,-101,1439,0.042,41,-42,2023
12,2025-07-14 17:25,LONG,3350.51,3339.57,3372.41,10.95,LOSS,-1.023,20.0,0.1,110,7.6,-112,1327,0.037,41,-41,1981
13,2025-07-16 15:00,LONG,3345.01,3331.56,3371.91,13.45,WIN,1.981,0.5,0.1,134,10.1,266,1594,0.029,39,77,2059
