n,dir,result,R,level_tf,level,touches,entry_to_level_datr,stop_beyond_level,pierced
1,LONG,WIN,1.977,1H,3323.14,2.0,0.27,0.0,-0.08
2,SHORT,LOSS,-1.025,4H,3330.26,2.0,0.09,1.0,0.02
3,SHORT,LOSS,-1.013,4H,3330.26,2.0,0.06,1.0,0.11
4,SHORT,WIN,1.975,4H,3269.24,1.0,0.17,0.0,-0.04
5,LONG,LOSS,-1.007,4H,3290.69,1.0,0.28,1.0,0.09
6,LONG,LOSS,-1.016,1H,3351.15,1.0,0.14,1.0,0.03
7,LONG,WIN,1.988,4H,3323.48,2.0,0.38,0.0,-0.14
8,SHORT,LOSS,-1.01,4H,3350.03,2.0,0.37,1.0,-0.01
9,SHORT,LOSS,-1.007,4H,3365.93,1.0,0.59,1.0,-0.08
10,SHORT,WIN,1.974,4H,3349.15,1.0,0.25,0.0,0.02
11,SHORT,LOSS,-1.025,15m,3296.78,1.0,0.16,1.0,0.0
12,LONG,LOSS,-1.023,4H,3340.34,1.0,0.22,1.0,-0.01
13,LONG,WIN,1.981,4H,3320.21,1.0,0.55,0.0,0.02
14,LONG,LOSS,-1.019,4H,3383.24,1.0,0.21,1.0,0.04
15,SHORT,WIN,1.975,4H,3334.16,2.0,0.18,1.0,-0.0
16,LONG,LOSS,-1.009,4H,3351.32,1.0,0.5,1.0,0.03
17,SHORT,LOSS,-1.018,4H,3361.21,2.0,0.54,0.0,-0.07
18,SHORT,LOSS,-1.022,4H,3366.36,2.0,0.25,1.0,0.02
19,SHORT,LOSS,-1.015,4H,3366.36,2.0,0.25,1.0,0.1
20,SHORT,WIN,1.948,4H,3359.21,1.0,0.29,0.0,-0.02
21,LONG,WIN,1.977,4H,3620.18,1.0,0.06,1.0,0.13
22,LONG,LOSS,-1.03,none,,,,,
23,LONG,LOSS,-1.02,15m,3659.84,2.0,0.21,1.0,-0.0
24,LONG,WIN,1.988,4H,3717.43,1.0,0.39,1.0,-0.09
25,LONG,WIN,1.988,15m,3940.82,2.0,0.29,1.0,-0.0
26,SHORT,LOSS,-1.008,1H,3994.42,2.0,0.31,1.0,0.09
27,SHORT,LOSS,-1.005,15m,4022.82,1.0,0.71,1.0,0.0
28,SHORT,LOSS,-1.012,1H,4132.32,2.0,0.19,0.0,-0.04
29,SHORT,WIN,1.989,4H,4161.36,1.0,0.2,0.0,-0.05
30,SHORT,WIN,1.989,4H,4022.82,2.0,0.08,1.0,0.06
31,SHORT,LOSS,-1.006,4H,4030.27,4.0,0.23,1.0,0.0
32,LONG,WIN,1.989,4H,4090.6,1.0,0.26,0.0,-0.07
33,SHORT,LOSS,-1.033,1H,4095.99,2.0,0.15,0.0,0.03
34,LONG,LOSS,-1.011,4H,4179.86,1.0,0.34,0.0,-0.01
35,SHORT,LOSS,-1.015,4H,4211.57,1.0,0.2,1.0,0.03
36,LONG,WIN,1.983,1H,4271.6,2.0,0.24,1.0,-0.04
37,LONG,LOSS,-1.028,1H,4324.17,1.0,0.05,1.0,0.06
38,LONG,LOSS,-1.013,4H,4306.45,1.0,0.37,0.0,-0.13
39,LONG,WIN,1.979,4H,4306.45,1.0,0.59,0.0,-0.04
40,LONG,WIN,1.992,15m,4448.29,1.0,0.44,1.0,-0.0
41,LONG,LOSS,-1.009,4H,4448.29,1.0,0.52,0.0,0.05
42,SHORT,WIN,1.99,4H,4404.26,1.0,0.26,1.0,-0.04
43,LONG,LOSS,-1.006,4H,4427.68,2.0,0.35,1.0,0.05
44,LONG,LOSS,-1.017,4H,4599.32,1.0,0.11,1.0,0.13
45,LONG,LOSS,-1.008,4H,4581.0,2.0,0.28,1.0,-0.02
46,LONG,LOSS,-1.001,15m,5094.98,1.0,2.13,1.0,-0.0
47,SHORT,LOSS,-1.004,4H,4967.56,1.0,0.35,0.0,-0.08
48,SHORT,LOSS,-1.003,4H,4967.56,1.0,0.21,1.0,0.12
49,LONG,WIN,1.996,4H,5094.98,1.0,0.28,1.0,0.01
50,SHORT,WIN,1.992,4H,5210.56,3.0,0.21,1.0,-0.03
51,SHORT,WIN,1.995,4H,5176.67,1.0,0.33,1.0,-0.04
52,LONG,LOSS,-1.005,4H,5145.78,2.0,0.28,1.0,-0.02
53,SHORT,WIN,1.993,4H,5022.34,2.0,0.08,1.0,0.11
54,LONG,WIN,1.996,1H,4553.84,1.0,0.41,0.0,-0.14
55,LONG,LOSS,-1.007,1H,4737.86,1.0,0.12,1.0,0.04
56,SHORT,LOSS,-1.006,4H,4735.79,1.0,0.16,1.0,0.05
57,SHORT,WIN,1.991,15m,4646.96,1.0,0.22,1.0,0.0
58,LONG,LOSS,-1.009,4H,4681.75,2.0,0.26,1.0,-0.04
59,SHORT,WIN,1.989,4H,4701.39,1.0,0.08,1.0,0.08
60,SHORT,WIN,1.993,4H,4346.84,2.0,0.13,1.0,-0.01
61,SHORT,LOSS,-1.012,4H,4044.22,1.0,0.03,1.0,0.1
62,SHORT,LOSS,-1.006,1H,4075.71,1.0,0.44,0.0,-0.1
63,LONG,LOSS,-1.009,4H,4121.61,1.0,0.27,0.0,-0.06
64,LONG,LOSS,-1.014,4H,4121.61,2.0,0.14,1.0,0.05
65,LONG,LOSS,-1.011,4H,4121.61,2.0,0.17,1.0,0.02
66,SHORT,LOSS,-1.013,4H,4115.7,1.0,0.14,1.0,0.02
67,SHORT,WIN,1.994,4H,4096.05,1.0,0.28,1.0,0.07
68,SHORT,LOSS,-1.016,4H,4008.96,1.0,-0.03,1.0,0.15
69,SHORT,LOSS,-1.008,4H,4043.42,2.0,0.3,1.0,-0.03
70,LONG,LOSS,-1.015,4H,4092.05,1.0,0.08,1.0,0.06
71,LONG,LOSS,-1.011,4H,4072.87,1.0,0.13,1.0,0.09
72,SHORT,LOSS,-1.012,4H,4079.39,4.0,0.31,0.0,-0.08
73,LONG,WIN,1.991,15m,4223.2,3.0,0.27,1.0,-0.0
74,LONG,LOSS,-1.012,4H,4356.62,1.0,0.26,0.0,-0.08
75,LONG,LOSS,-1.007,4H,4382.03,2.0,0.21,1.0,-0.05
76,LONG,WIN,1.994,15m,4450.45,1.0,0.36,1.0,-0.0
77,LONG,LOSS,-1.006,4H,4594.19,1.0,0.43,0.0,-0.1
78,SHORT,WIN,1.996,4H,4632.09,1.0,0.56,1.0,-0.05
79,LONG,LOSS,-1.003,4H,4367.05,3.0,0.67,1.0,0.02
80,SHORT,WIN,1.995,4H,4435.26,4.0,0.38,1.0,-0.01
81,SHORT,WIN,1.995,4H,4407.05,4.0,0.41,1.0,-0.04
82,SHORT,LOSS,-1.006,4H,4355.38,1.0,0.25,1.0,0.05
