n,dir,win,R,entry_to_level,today_reached,speed_4h,speed_1h,half
1,LONG,1,1.977,-0.15,0.46,-0.04,-0.0,1
2,SHORT,0,-1.025,1.02,-0.91,0.09,0.0,1
3,SHORT,0,-1.013,0.99,-0.82,0.05,-0.01,1
4,SHORT,1,1.975,0.43,-0.29,0.14,0.03,1
5,LONG,0,-1.007,0.35,0.03,0.33,-0.08,1
6,LONG,0,-1.016,0.8,-0.63,0.09,0.06,1
7,LONG,1,1.988,0.65,-0.42,0.13,-0.04,1
8,SHORT,0,-1.01,0.17,0.18,-0.15,-0.1,1
9,SHORT,0,-1.007,0.3,0.18,-0.02,-0.14,1
10,SHORT,1,1.974,0.07,0.21,-0.14,-0.0,1
11,SHORT,0,-1.025,0.67,-0.52,0.15,0.0,1
12,LONG,0,-1.023,0.61,-0.39,0.2,-0.0,1
13,LONG,1,1.981,0.57,0.02,-0.05,-0.28,1
14,LONG,0,-1.019,0.21,0.04,0.7,0.06,1
15,SHORT,1,1.975,0.18,-0.0,0.04,-0.01,1
16,LONG,0,-1.009,0.65,-0.1,-0.14,-0.14,1
17,SHORT,0,-1.018,1.23,-0.74,-0.08,-0.04,1
18,SHORT,0,-1.022,0.09,0.18,-0.03,0.02,1
19,SHORT,0,-1.015,0.09,0.27,-0.11,0.01,1
20,SHORT,1,1.948,0.03,0.24,-0.05,-0.12,1
21,LONG,1,1.977,0.06,0.13,0.25,0.02,1
22,LONG,0,-1.03,-0.13,0.25,0.33,0.04,1
23,LONG,0,-1.02,-0.09,0.31,0.02,0.04,1
24,LONG,1,1.988,0.4,-0.09,0.3,-0.03,1
25,LONG,1,1.988,0.99,-0.7,0.2,-0.01,1
26,SHORT,0,-1.008,1.27,-0.77,-0.18,-0.1,1
27,SHORT,0,-1.005,1.23,-0.53,-0.14,-0.07,1
28,SHORT,0,-1.012,0.42,-0.19,-0.01,0.06,1
29,SHORT,1,1.989,0.2,-0.05,0.28,-0.01,1
30,SHORT,1,1.989,0.05,0.08,0.06,-0.01,1
31,SHORT,0,-1.006,0.29,-0.06,-0.0,-0.05,1
32,LONG,1,1.989,1.08,-0.89,0.29,-0.04,1
33,SHORT,0,-1.033,-0.01,0.18,0.14,-0.02,1
34,LONG,0,-1.011,-0.09,0.42,0.03,-0.0,1
35,SHORT,0,-1.015,0.33,-0.1,0.26,-0.03,1
36,LONG,1,1.983,0.01,0.23,0.01,-0.02,1
37,LONG,0,-1.028,0.34,-0.23,0.17,-0.0,1
38,LONG,0,-1.013,0.37,-0.13,0.06,0.03,1
39,LONG,1,1.979,0.61,-0.04,-0.23,-0.12,1
40,LONG,1,1.992,0.7,-0.27,0.15,-0.13,1
41,LONG,0,-1.009,-0.13,0.71,0.6,-0.05,1
42,SHORT,1,1.99,-0.39,0.64,0.14,0.15,2
43,LONG,0,-1.006,0.36,0.05,0.03,-0.06,2
44,LONG,0,-1.017,0.13,0.18,-0.11,-0.0,2
45,LONG,0,-1.008,0.3,-0.02,0.06,-0.17,2
46,LONG,0,-1.001,1.44,0.49,1.78,-0.05,2
47,SHORT,0,-1.004,-0.03,0.28,0.41,-0.08,2
48,SHORT,0,-1.003,-0.16,0.47,0.07,-0.03,2
49,LONG,1,1.996,0.12,0.18,0.24,-0.14,2
50,SHORT,1,1.992,1.4,-1.21,0.15,0.03,2
51,SHORT,1,1.995,0.47,-0.17,0.43,0.0,2
52,LONG,0,-1.005,0.44,-0.18,0.12,0.01,2
53,SHORT,1,1.993,0.85,-0.65,0.21,-0.12,2
54,LONG,1,1.996,-0.17,0.57,0.1,-0.0,2
55,LONG,0,-1.007,0.31,-0.16,0.07,-0.0,2
56,SHORT,0,-1.006,0.48,-0.28,-0.01,-0.04,2
57,SHORT,1,1.991,-0.16,0.39,0.14,-0.0,2
58,LONG,0,-1.009,0.69,-0.47,0.08,-0.12,2
59,SHORT,1,1.989,0.34,-0.08,0.13,0.01,2
60,SHORT,1,1.993,0.2,-0.02,-0.05,-0.11,2
61,SHORT,0,-1.012,0.03,0.09,0.13,0.01,2
62,SHORT,0,-1.006,0.44,-0.1,0.02,-0.03,2
63,LONG,0,-1.009,0.25,-0.05,0.13,-0.09,2
64,LONG,0,-1.014,0.08,0.11,0.07,0.02,2
65,LONG,0,-1.011,0.11,0.11,-0.06,0.03,2
66,SHORT,0,-1.013,0.32,-0.16,-0.04,-0.03,2
67,SHORT,1,1.994,0.23,0.12,0.46,-0.15,2
68,SHORT,0,-1.016,0.49,-0.38,0.29,-0.03,2
69,SHORT,0,-1.008,0.1,0.17,0.01,0.04,2
70,LONG,0,-1.015,0.26,-0.12,0.36,-0.02,2
71,LONG,0,-1.011,0.72,-0.5,0.09,-0.02,2
72,SHORT,0,-1.012,0.3,-0.08,0.02,-0.11,2
73,LONG,1,1.991,2.03,-1.76,0.3,-0.01,2
74,LONG,0,-1.012,0.15,0.03,0.32,-0.04,2
75,LONG,0,-1.007,0.36,-0.18,0.04,0.05,2
76,LONG,1,1.994,1.56,-1.21,0.1,0.03,2
77,LONG,0,-1.006,0.42,-0.1,0.07,0.04,2
78,SHORT,1,1.996,0.67,-0.16,-0.03,0.07,2
79,LONG,0,-1.003,0.54,0.15,0.34,0.01,2
80,SHORT,1,1.995,0.45,-0.08,0.14,-0.04,2
81,SHORT,1,1.995,0.68,-0.3,0.32,-0.04,2
82,SHORT,0,-1.006,-0.1,0.41,-0.04,-0.17,2
