n,date,dir,result,R,at_yday_level,fast,confirm,matches_all,level_actually_used,dist_to_used,why_not_matching
1,2025-05-08 12:10,LONG,WIN,1.98,0,0,1,0,4H swing low,0.02,not at yesterday's low (0.34 dATR away); slow approach (-0.04)
2,2025-05-09 08:15,SHORT,LOSS,-1.02,0,0,1,0,4H swing high,0.02,not at yesterday's high (0.91 dATR away); slow approach (+0.09)
3,2025-05-09 14:00,SHORT,LOSS,-1.01,0,0,1,0,4H swing high,0.03,not at yesterday's high (0.82 dATR away); slow approach (+0.05)
4,2025-05-13 08:25,SHORT,WIN,1.98,0,0,1,0,4H swing high,0.03,not at yesterday's high (0.29 dATR away); slow approach (+0.14)
5,2025-05-22 11:55,LONG,LOSS,-1.01,1,1,1,1,yesterday's low,0.03,MATCHES YOUR RULES
6,2025-06-03 12:40,LONG,LOSS,-1.02,0,0,1,0,4H swing low,0.02,not at yesterday's low (0.63 dATR away); slow approach (+0.09)
7,2025-06-03 15:35,LONG,WIN,1.99,0,0,1,0,4H swing low,0.01,not at yesterday's low (0.42 dATR away); slow approach (+0.13)
8,2025-06-10 14:50,SHORT,LOSS,-1.01,1,0,1,0,yesterday's high,0.18,slow approach (-0.15); yesterday's level already broken by a close today
9,2025-06-11 13:55,SHORT,LOSS,-1.01,1,0,1,0,yesterday's high,0.18,slow approach (-0.02); yesterday's level already broken by a close today
10,2025-06-26 11:30,SHORT,WIN,1.97,1,0,1,0,yesterday's high,0.21,slow approach (-0.14); yesterday's level already broken by a close today
11,2025-06-30 08:35,SHORT,LOSS,-1.02,0,1,1,0,4H swing high,0.08,not at yesterday's high (0.52 dATR away)
12,2025-07-14 17:25,LONG,LOSS,-1.02,0,1,1,0,4H swing low,0.08,not at yesterday's low (0.39 dATR away)
13,2025-07-16 15:00,LONG,WIN,1.98,1,0,1,0,yesterday's low,0.02,slow approach (-0.05)
14,2025-07-23 17:50,LONG,LOSS,-1.02,1,1,0,0,yesterday's low,0.04,no confirmation candle
15,2025-07-30 11:05,SHORT,WIN,1.98,1,0,1,0,yesterday's high,0.0,slow approach (+0.04)
16,2025-08-05 13:30,LONG,LOSS,-1.01,1,0,1,0,yesterday's low,0.1,slow approach (-0.14)
17,2025-08-12 14:10,SHORT,LOSS,-1.02,0,0,1,0,today's earlier high,0.0,not at yesterday's high (0.74 dATR away); slow approach (-0.08)
18,2025-08-13 13:00,SHORT,LOSS,-1.02,1,0,1,0,yesterday's high,0.18,slow approach (-0.03); yesterday's level already broken by a close today
19,2025-08-13 17:30,SHORT,LOSS,-1.01,0,0,1,0,4H swing high,0.0,not at yesterday's high (0.27 dATR away); slow approach (-0.11)
20,2025-08-18 08:00,SHORT,WIN,1.95,1,0,1,0,yesterday's high,0.24,slow approach (-0.05); yesterday's level already broken by a close today
21,2025-09-11 10:35,LONG,WIN,1.98,1,1,0,0,yesterday's low,0.13,no confirmation candle; yesterday's level already broken by a close today
22,2025-09-17 09:10,LONG,LOSS,-1.03,0,1,1,0,today's earlier low,0.24,not at yesterday's low (0.25 dATR away)
23,2025-09-17 12:05,LONG,LOSS,-1.02,0,0,0,0,today's earlier low,0.14,not at yesterday's low (0.31 dATR away); slow approach (+0.02); no confirmation candle
24,2025-09-25 15:15,LONG,WIN,1.99,1,1,1,1,yesterday's low,0.09,MATCHES YOUR RULES
25,2025-10-07 09:10,LONG,WIN,1.99,0,1,0,0,4H swing low,0.08,not at yesterday's low (0.70 dATR away); no confirmation candle
26,2025-10-10 14:00,SHORT,LOSS,-1.01,0,0,1,0,4H swing high,0.06,not at yesterday's high (0.87 dATR away); slow approach (-0.18)
27,2025-10-10 17:05,SHORT,LOSS,-1.0,0,0,1,0,4H swing high,0.02,not at yesterday's high (0.53 dATR away); slow approach (-0.14)
28,2025-10-23 10:25,SHORT,LOSS,-1.01,0,0,1,0,4H swing high,0.04,not at yesterday's high (0.27 dATR away); slow approach (-0.01)
29,2025-10-23 16:15,SHORT,WIN,1.99,1,1,0,0,yesterday's high,0.05,no confirmation candle
30,2025-10-29 13:10,SHORT,WIN,1.99,1,0,1,0,yesterday's high,0.08,slow approach (+0.06); yesterday's level already broken by a close today
31,2025-11-03 16:15,SHORT,LOSS,-1.01,1,0,1,0,yesterday's high,0.06,slow approach (-0.00)
32,2025-11-11 17:05,LONG,WIN,1.99,0,1,0,0,4H swing low,0.1,not at yesterday's low (0.89 dATR away); no confirmation candle
33,2025-11-19 08:05,SHORT,LOSS,-1.03,1,1,1,0,yesterday's high,0.18,yesterday's level already broken by a close today
34,2025-12-02 12:50,LONG,LOSS,-1.01,0,0,1,0,today's earlier low,0.13,not at yesterday's low (0.42 dATR away); slow approach (+0.03)
35,2025-12-09 12:15,SHORT,LOSS,-1.01,1,1,1,1,yesterday's high,0.1,MATCHES YOUR RULES
36,2025-12-16 12:05,LONG,WIN,1.98,1,0,1,0,yesterday's low,0.2,slow approach (+0.01); yesterday's level already broken by a close today
