strategy,time,dir,entry,stop,target,exit,R,outcome,date,n_confirm,partners
PriorDayLevels,2020-01-06 15:00:00,LONG,1566.86,1562.15,1582.1,STOP,-1.366,LOSS,2020-01-06,0,
PriorDayLevels,2020-01-07 23:00:00,SHORT,1579.97,1584.71,1560.82,STOP,-1.368,LOSS,2020-01-07,0,
PriorDayLevels,2020-01-08 16:00:00,LONG,1555.28,1550.61,1598.34,EOD,0.221,WIN,2020-01-08,0,
PriorDayLevels,2020-01-10 21:00:00,SHORT,1561.26,1565.94,1540.21,EOD,-0.517,LOSS,2020-01-10,0,
PriorDayLevels,2020-01-21 08:00:00,LONG,1556.63,1551.96,1562.65,STOP,-1.366,LOSS,2020-01-21,0,
PriorDayLevels,2020-01-23 14:00:00,SHORT,1563.68,1568.37,1550.14,EOD,0.228,WIN,2020-01-23,0,
PriorDayLevels,2020-01-24 15:00:00,SHORT,1567.86,1572.57,1551.89,STOP,-1.368,LOSS,2020-01-24,0,
PriorDayLevels,2020-01-31 15:00:00,SHORT,1585.87,1590.63,1572.23,EOD,-0.984,LOSS,2020-01-31,0,
PriorDayLevels,2020-02-05 09:00:00,LONG,1549.0,1544.36,1579.54,EOD,1.151,WIN,2020-02-05,0,
PriorDayLevels,2020-02-06 09:00:00,SHORT,1562.3,1566.99,1547.48,STOP,-1.368,LOSS,2020-02-06,0,
PriorDayLevels,2020-02-10 17:00:00,SHORT,1576.55,1581.28,1569.03,EOD,0.612,WIN,2020-02-10,0,
MaynePlaybook,2020-02-18 14:00:00,SHORT,1589.74,1593.27,1546.31,STOP,-1.496,LOSS,2020-02-18,0,
PriorDayLevels,2020-02-20 11:00:00,SHORT,1612.84,1617.68,1599.47,STOP,-1.368,LOSS,2020-02-20,0,
PriorDayLevels,2020-02-24 08:00:00,SHORT,1680.97,1686.01,1657.7,STOP,-1.368,LOSS,2020-02-24,0,
PriorDayLevels,2020-02-24 19:00:00,LONG,1657.7,1652.73,1680.97,STOP,-1.366,LOSS,2020-02-24,0,
PriorDayLevels,2020-02-27 14:00:00,SHORT,1654.88,1659.84,1624.97,STOP,-1.368,LOSS,2020-02-27,0,
PriorDayLevels,2020-03-03 15:00:00,SHORT,1610.86,1615.7,1581.68,STOP,-1.368,LOSS,2020-03-03,0,
PriorDayLevels,2020-03-05 12:00:00,SHORT,1649.28,1654.23,1631.72,STOP,-1.368,LOSS,2020-03-05,0,
PriorDayLevels,2020-03-06 19:00:00,SHORT,1674.86,1679.88,1635.57,STOP,-1.368,LOSS,2020-03-06,0,
PriorDayLevels,2020-03-11 17:00:00,LONG,1641.57,1636.65,1671.38,STOP,-1.366,LOSS,2020-03-11,0,
PriorDayLevels,2020-03-12 10:00:00,LONG,1633.07,1628.17,1671.18,STOP,-1.366,LOSS,2020-03-12,0,
MaynePlaybook,2020-03-12 15:00:00,LONG,1566.38,1560.72,1611.36,STOP,-1.304,LOSS,2020-03-12,0,
PriorDayLevels,2020-03-13 15:00:00,LONG,1560.72,1556.04,1650.25,STOP,-1.366,LOSS,2020-03-13,0,
PriorDayLevels,2020-03-19 11:00:00,LONG,1472.75,1468.33,1539.83,STOP,-1.366,LOSS,2020-03-19,0,
PriorDayLevels,2020-03-20 20:00:00,SHORT,1498.64,1503.14,1455.29,EOD,-0.383,LOSS,2020-03-20,0,
PriorDayLevels,2020-03-23 12:00:00,SHORT,1507.94,1512.46,1482.77,STOP,-1.368,LOSS,2020-03-23,0,
PriorDayLevels,2020-03-26 13:00:00,SHORT,1631.43,1636.33,1596.18,STOP,-1.368,LOSS,2020-03-26,0,
PriorDayLevels,2020-03-30 22:00:00,LONG,1616.41,1611.56,1630.46,EOD,-0.393,LOSS,2020-03-30,0,
PriorDayLevels,2020-04-02 12:00:00,SHORT,1598.55,1603.35,1571.35,STOP,-1.368,LOSS,2020-04-02,0,
PriorDayLevels,2020-04-03 12:00:00,SHORT,1618.81,1623.67,1581.92,STOP,-1.368,LOSS,2020-04-03,0,
PriorDayLevels,2020-04-14 07:00:00,SHORT,1722.21,1727.38,1679.8,STOP,-1.368,LOSS,2020-04-14,0,
